id_transaccion,fecha,producto,categoria,cantidad,precio,total,segmento_cliente,estado
60,5/29/2025,Mouse,Accesorios,3,1432.115233,4296.35,Empresa,Completada
61,6/18/2025,SSD,Almacenamiento,2,407.4926311,814.99,Empresa,Completada
62,4/17/2025,Mouse,Accesorios,3,168.9002145,506.7,Empresa,Completada
63,11/12/2025,Monitor,Pantallas,1,1291.675593,1291.68,Empresa,Completada
64,5/14/2025,Auriculares,Audio,3,893.9497316,2681.85,Individual,Completada
65,4/1/2025,Webcam,Video,3,914.9631752,2744.89,Individual,Completada
66,7/26/2025,Monitor,Pantallas,1,1098.002548,1098,Individual,Completada
67,3/20/2025,Auriculares,Audio,2,271.63896,543.28,Individual,Completada
68,10/2/2025,Teclado,Accesorios,1,890.9922663,890.99,Empresa,Completada
69,2/10/2025,Tablet,Computo,1,777.621291,777.62,Individual,Completada
70,11/30/2025,Teclado,Accesorios,3,869.6800612,2609.04,PYME,Completada
71,10/11/2025,Dock USB,Accesorios,2,1259.248012,2518.5,Individual,Completada
72,3/19/2025,Mouse,Accesorios,3,1139.678459,3419.04,Individual,Completada
73,1/18/2025,Dock USB,Accesorios,3,1356.971805,4070.92,PYME,Completada
74,10/20/2025,Monitor,Pantallas,1,492.5675556,492.57,,Completada
75,9/21/2025,Auriculares,Audio,3,674.252626,2022.76,Individual,Completada
76,9/13/2025,Teclado,Accesorios,2,1113.081323,2226.16,Empresa,Completada
77,10/7/2025,Teclado,Accesorios,3,380.5174024,1141.55,Individual,Completada
78,2/17/2025,Dock USB,Accesorios,2,319.3667091,638.73,Individual,Completada
79,5/16/2025,Tablet,Computo,1,933.8599403,933.86,Individual,Completada
80,2/10/2025,Webcam,Video,1,1069.1765,1069.18,Empresa,Completada
81,11/5/2025,Auriculares,Audio,3,295.8384097,887.52,Individual,Completada
82,8/23/2025,Auriculares,Audio,3,1105.637316,3316.91,Individual,Completada
83,5/16/2025,Auriculares,Audio,3,1124.132451,3372.4,Empresa,Completada
84,2/10/2025,Laptop,Computo,3,383.4504729,1150.35,PYME,Completada
85,4/12/2025,Monitor,Pantallas,1,130.0244905,130.02,Empresa,Completada
86,5/12/2025,Laptop,Computo,2,569.6539919,1139.31,PYME,Completada
87,9/1/2025,Router,Red,3,1150.572218,3451.72,Empresa,Completada
88,9/6/2025,Auriculares,Audio,2,693.5049368,1387.01,Individual,Completada
89,12/22/2025,Tablet,Computo,2,669.7047042,1339.41,PYME,Completada
90,6/4/2025,Laptop,Computo,3,1307.504529,3922.51,Individual,Completada
91,2/18/2025,Laptop,Computo,1,373.5453583,373.55,Empresa,Completada
92,9/12/2025,Auriculares,Audio,2,534.279806,1068.56,PYME,Completada
93,10/17/2025,Laptop,Computo,1,857.5876376,857.59,PYME,Completada
94,7/24/2025,Auriculares,Audio,1,139.5668671,139.57,Individual,Completada
95,10/20/2025,Laptop,Computo,1,1442.838509,1442.84,PYME,Completada
96,6/13/2025,Tablet,Computo,3,798.1525709,2394.46,,Completada
97,7/10/2025,Router,Red,3,472.0260032,1416.08,Individual,Completada
98,6/1/2025,Laptop,Computo,2,637.1933318,1274.39,,Completada
99,1/15/2025,Auriculares,Audio,1,655.9960057,656,PYME,Completada
100,2/11/2025,SSD,Almacenamiento,2,522.1531891,1044.31,,Completada
101,1/16/2025,SSD,Almacenamiento,1,375.2122997,375.21,Individual,Completada
102,8/29/2025,Auriculares,Audio,2,240.208311,480.42,Individual,Completada
103,4/15/2025,Webcam,Video,2,909.070663,1818.14,,Completada
104,7/9/2025,Tablet,Computo,1,218.8947673,218.89,PYME,Completada
105,12/12/2025,SSD,Almacenamiento,2,1277.241734,2554.48,Empresa,Completada
106,3/15/2025,Mouse,Accesorios,3,270.9168994,812.75,Individual,Completada
107,6/11/2025,Laptop,Computo,1,410.8522036,410.85,Empresa,Completada
108,10/25/2025,Mouse,Accesorios,2,985.0495338,1970.1,Individual,Completada
109,3/7/2025,Mouse,Accesorios,1,726.7590462,726.76,PYME,Completada
110,2/19/2025,Monitor,Pantallas,2,143.7623653,287.52,Individual,Completada
111,4/18/2025,Monitor,Pantallas,2,516.6874297,1033.37,Individual,Completada
112,3/4/2025,Auriculares,Audio,1,1114.179932,1114.18,Individual,Completada
113,12/6/2025,Dock USB,Accesorios,2,440.6060014,881.21,Empresa,Completada
114,10/18/2025,Tablet,Computo,2,710.731739,1421.46,Individual,Completada
115,8/29/2025,Laptop,Computo,1,867.039352,867.04,PYME,Completada
116,11/8/2025,Mouse,Accesorios,3,311.7541318,935.26,Empresa,Completada
117,10/17/2025,Mouse,Accesorios,3,268.9501971,806.85,,Completada
118,3/27/2025,Teclado,Accesorios,1,510.4394471,510.44,Individual,Cancelada
119,12/25/2025,Mouse,Accesorios,3,1052.374355,3157.12,,Completada
120,7/25/2025,Auriculares,Audio,1,962.5766547,962.58,Individual,Completada
121,10/22/2025,Tablet,Computo,2,940.2426687,1880.49,Empresa,Completada
122,12/8/2025,Tablet,Computo,3,972.3706026,2917.11,Individual,Completada
123,4/4/2025,Mouse,Accesorios,3,229.7732053,689.32,PYME,Completada
124,2/22/2025,Teclado,Accesorios,1,974.1921672,974.19,PYME,Completada
125,3/15/2025,Router,Red,2,81.60487894,163.21,Empresa,Completada
126,6/19/2025,Webcam,Video,1,1497.559858,1497.56,Individual,Completada
127,10/9/2025,Teclado,Accesorios,3,57.49839105,172.5,PYME,Completada
128,11/14/2025,Laptop,Computo,2,898.7579191,1797.52,Individual,Completada
129,1/6/2025,Auriculares,Audio,2,1207.557281,2415.11,PYME,Completada
130,7/2/2025,Router,Red,2,231.868251,463.74,PYME,Completada
131,6/27/2025,Mouse,Accesorios,2,553.0582511,1106.12,PYME,Completada
132,3/3/2025,Laptop,Computo,2,505.5922582,1011.18,Individual,Completada
133,2/5/2025,Teclado,Accesorios,1,1151.06833,1151.07,Individual,Completada
134,5/18/2025,Auriculares,Audio,2,955.6563398,1911.31,Individual,Completada
135,12/17/2025,Auriculares,Audio,2,741.3539981,1482.71,PYME,Completada
136,5/8/2025,Teclado,Accesorios,3,1453.538821,4360.62,Individual,Completada
137,7/16/2025,Mouse,Accesorios,3,985.3195238,2955.96,Empresa,Completada
138,9/7/2025,Mouse,Accesorios,2,518.7187558,1037.44,Individual,Completada
139,5/19/2025,Laptop,Computo,1,1074.753197,1074.75,Individual,Completada
140,12/3/2025,Dock USB,Accesorios,3,1161.467764,3484.4,Individual,Completada
141,11/27/2025,Tablet,Computo,1,1283.165042,1283.17,Empresa,Completada
142,4/16/2025,SSD,Almacenamiento,2,1214.326419,2428.65,PYME,Completada
143,6/28/2025,Tablet,Computo,2,1401.836207,2803.67,Individual,Completada
144,4/28/2025,Mouse,Accesorios,1,1275.530958,1275.53,Empresa,Completada
145,4/4/2025,Router,Red,3,446.5311551,1339.59,Empresa,Completada
146,1/24/2025,Dock USB,Accesorios,2,274.8391877,549.68,,Completada
147,7/31/2025,Monitor,Pantallas,1,506.7265469,506.73,Individual,Cancelada
148,7/27/2025,Monitor,Pantallas,3,1196.922654,3590.77,PYME,Cancelada
149,1/2/2025,Router,Red,2,807.6067937,1615.21,Empresa,Completada
150,4/14/2025,Webcam,Video,3,1412.630799,4237.89,PYME,Completada
151,12/3/2025,Webcam,Video,1,164.2240659,164.22,Individual,Completada
152,3/16/2025,Tablet,Computo,1,1116.715837,1116.72,Individual,Completada
153,3/9/2025,Monitor,Pantallas,3,1109.194283,3327.58,,Completada
154,6/9/2025,Mouse,Accesorios,2,1342.479305,2684.96,Individual,Completada
155,11/29/2025,Teclado,Accesorios,3,1039.658412,3118.98,Individual,Completada
156,3/3/2025,Mouse,Accesorios,3,969.5580501,2908.67,PYME,Completada
157,9/12/2025,Mouse,Accesorios,3,441.8405537,1325.52,Empresa,Completada
158,9/30/2025,Mouse,Accesorios,2,272.9453943,545.89,PYME,Completada
159,3/7/2025,Tablet,Computo,2,528.0272451,1056.05,Individual,Completada
160,9/13/2025,Mouse,Accesorios,1,1361.306727,1361.31,Individual,Completada
161,5/7/2025,Webcam,Video,3,126.3879317,379.16,Individual,Completada
162,9/7/2025,Mouse,Accesorios,1,824.497825,824.5,Empresa,Completada
163,9/13/2025,Teclado,Accesorios,3,1205.233258,3615.7,Individual,Completada
164,7/13/2025,Laptop,Computo,2,391.7333087,783.47,Empresa,Completada
165,2/23/2025,Monitor,Pantallas,1,376.0257682,376.03,PYME,Completada
166,11/23/2025,Teclado,Accesorios,3,1128.091744,3384.28,Individual,Completada
167,5/23/2025,Tablet,Computo,1,1232.527923,1232.53,Individual,Completada
168,3/3/2025,Router,Red,3,1165.703074,3497.11,Individual,Completada
169,1/7/2025,Webcam,Video,3,1478.500709,4435.5,Individual,Completada
170,8/9/2025,Tablet,Computo,1,641.5383781,641.54,,Completada
171,8/31/2025,Laptop,Computo,3,937.6073844,2812.82,Empresa,Completada
172,1/25/2025,Monitor,Pantallas,1,339.3899178,339.39,PYME,Completada
173,7/23/2025,Mouse,Accesorios,3,1289.300292,3867.9,PYME,Cancelada
174,3/5/2025,Dock USB,Accesorios,3,432.3179842,1296.95,Individual,Completada
175,9/10/2025,SSD,Almacenamiento,3,66.48624417,199.46,PYME,Completada
176,3/21/2025,Webcam,Video,3,1132.45143,3397.35,PYME,Completada
177,9/19/2025,Router,Red,1,366.0752359,366.08,Individual,Cancelada
178,6/3/2025,Dock USB,Accesorios,2,158.2043094,316.41,Individual,Completada
179,12/3/2025,Laptop,Computo,2,1157.417405,2314.83,Empresa,Completada
180,3/30/2025,Dock USB,Accesorios,1,761.6854334,761.69,PYME,Completada
181,5/11/2025,SSD,Almacenamiento,2,639.09306,1278.19,PYME,Completada
182,2/9/2025,Auriculares,Audio,2,1285.7267,2571.45,Individual,Completada
183,12/19/2025,Router,Red,1,558.5383822,558.54,Individual,Completada
184,10/30/2025,Monitor,Pantallas,3,970.5272936,2911.58,Individual,Completada
185,4/15/2025,Laptop,Computo,3,554.4663414,1663.4,Empresa,Completada
186,8/30/2025,Monitor,Pantallas,2,280.8526565,561.71,PYME,Completada
187,10/26/2025,Mouse,Accesorios,1,1320.490803,1320.49,Individual,Completada
188,7/20/2025,Monitor,Pantallas,1,90.1688697,90.17,PYME,Cancelada
189,7/18/2025,Auriculares,Audio,1,694.1660421,694.17,Empresa,Completada
190,3/4/2025,Laptop,Computo,3,128.9911266,386.97,Individual,Completada
191,2/24/2025,Laptop,Computo,3,910.8675238,2732.6,Individual,Completada
192,12/2/2025,Auriculares,Audio,3,1113.906166,3341.72,Individual,Completada
193,12/2/2025,Laptop,Computo,3,990.1241271,2970.37,Individual,Completada
194,9/10/2025,Webcam,Video,3,694.3066234,2082.92,Individual,Completada
195,5/4/2025,Teclado,Accesorios,1,74.09727579,74.1,Empresa,Completada
196,5/4/2025,Auriculares,Audio,3,1306.358083,3919.07,Individual,Completada
197,9/13/2025,Router,Red,1,1133.047791,1133.05,Individual,Completada
198,12/12/2025,Dock USB,Accesorios,2,399.8932428,799.79,PYME,Completada
199,12/21/2025,Dock USB,Accesorios,2,1451.394034,2902.79,Individual,Completada
200,10/19/2025,Teclado,Accesorios,1,1408.887814,1408.89,,Completada
201,8/30/2025,Laptop,Computo,1,741.9962424,742,Individual,Completada
202,2/24/2025,Teclado,Accesorios,3,1109.378264,3328.13,,Completada
203,3/10/2025,Dock USB,Accesorios,3,590.2118243,1770.64,Individual,Completada
204,12/12/2025,Dock USB,Accesorios,2,677.9647047,1355.93,Individual,Completada
205,8/6/2025,Webcam,Video,3,1204.398846,3613.2,Empresa,Completada
206,1/17/2025,Tablet,Computo,2,199.6551285,399.31,PYME,Completada
207,2/9/2025,Auriculares,Audio,3,1280.849087,3842.55,Empresa,Completada
208,9/22/2025,SSD,Almacenamiento,2,632.1296602,1264.26,Individual,Completada
209,1/11/2025,Router,Red,1,1377.64077,1377.64,PYME,Completada
210,3/26/2025,Webcam,Video,1,1119.411392,1119.41,,Completada
211,7/17/2025,Auriculares,Audio,3,504.6344289,1513.9,Individual,Completada
212,9/15/2025,Tablet,Computo,1,361.2028385,361.2,,Completada
213,9/1/2025,SSD,Almacenamiento,3,1218.986243,3656.96,Empresa,Completada
214,3/24/2025,Auriculares,Audio,2,481.3614256,962.72,Individual,Completada
215,9/16/2025,Laptop,Computo,2,1079.374284,2158.75,PYME,Completada
216,3/29/2025,Mouse,Accesorios,3,325.4018517,976.21,PYME,Completada
217,5/27/2025,Webcam,Video,1,860.5506508,860.55,Empresa,Completada
218,8/31/2025,Teclado,Accesorios,1,1134.202019,1134.2,PYME,Completada
219,9/16/2025,Dock USB,Accesorios,3,966.8109946,2900.43,Individual,Completada
220,11/3/2025,Monitor,Pantallas,2,1450.343263,2900.69,Individual,Completada
221,9/21/2025,Laptop,Computo,3,700.6952193,2102.09,Individual,Completada
222,7/11/2025,SSD,Almacenamiento,2,1033.583059,2067.17,Individual,Completada
223,2/24/2025,Monitor,Pantallas,2,559.3738004,1118.75,Individual,Completada
224,5/11/2025,Mouse,Accesorios,2,842.5481048,1685.1,Individual,Completada
225,4/25/2025,Tablet,Computo,1,1098.665206,1098.67,Individual,Completada
226,3/12/2025,SSD,Almacenamiento,3,743.4677715,2230.4,PYME,Cancelada
227,12/4/2025,Webcam,Video,2,680.0087902,1360.02,Empresa,Completada
228,6/21/2025,Teclado,Accesorios,3,987.3436152,2962.03,Individual,Completada
229,12/4/2025,Monitor,Pantallas,2,546.999907,1094,Empresa,Completada
230,9/9/2025,Monitor,Pantallas,3,1132.882336,3398.65,Individual,Completada
231,10/24/2025,Tablet,Computo,2,934.3381471,1868.68,Individual,Completada
232,7/5/2025,SSD,Almacenamiento,3,367.9251853,1103.78,Individual,Completada
233,8/25/2025,Router,Red,3,1071.526786,3214.58,Individual,Completada
234,6/28/2025,Monitor,Pantallas,1,108.0037865,108,Individual,Completada
235,3/6/2025,Router,Red,1,901.1199112,901.12,Empresa,Completada
236,9/8/2025,Mouse,Accesorios,1,209.960408,209.96,Empresa,Completada
237,4/10/2025,Mouse,Accesorios,1,279.6740469,279.67,Individual,Completada
238,1/24/2025,Laptop,Computo,1,858.40996,858.41,Individual,Completada
239,9/18/2025,SSD,Almacenamiento,3,968.6387999,2905.92,Empresa,Completada
240,3/22/2025,Mouse,Accesorios,2,1495.705037,2991.41,PYME,Completada
241,12/4/2025,Mouse,Accesorios,3,802.2819312,2406.85,Individual,Completada
242,11/29/2025,Tablet,Computo,3,138.1080755,414.32,Individual,Completada
243,12/7/2025,Webcam,Video,1,1468.939304,1468.94,Empresa,Completada
244,5/25/2025,Tablet,Computo,2,980.0578826,1960.12,Individual,Completada
245,1/8/2025,Tablet,Computo,1,550.8799268,550.88,Individual,Completada
246,12/15/2025,SSD,Almacenamiento,2,491.4976578,983,Individual,Completada
247,6/2/2025,Router,Red,2,564.8946564,1129.79,Individual,Completada
248,12/5/2025,Webcam,Video,2,478.2940096,956.59,Empresa,Cancelada
249,12/4/2025,Teclado,Accesorios,3,1075.609754,3226.83,,Completada
250,11/11/2025,Mouse,Accesorios,2,137.7085128,275.42,Individual,Completada
251,4/10/2025,Mouse,Accesorios,1,1299.565245,1299.57,Individual,Completada
252,6/27/2025,Mouse,Accesorios,2,938.3089751,1876.62,Individual,Completada
253,11/19/2025,Auriculares,Audio,3,533.1029403,1599.31,Individual,Completada
254,4/13/2025,Teclado,Accesorios,2,1063.467921,2126.94,Individual,Completada
255,3/24/2025,Teclado,Accesorios,1,436.9529817,436.95,Individual,Completada
256,7/23/2025,Auriculares,Audio,1,373.1430994,373.14,Individual,Completada
257,12/5/2025,Webcam,Video,3,421.3324143,1264,Empresa,Cancelada
258,9/9/2025,Router,Red,2,288.1616481,576.32,Empresa,Completada
259,8/2/2025,SSD,Almacenamiento,2,438.2166995,876.43,Empresa,Completada
260,2/9/2025,Tablet,Computo,3,621.0223489,1863.07,Empresa,Completada
261,8/18/2025,Dock USB,Accesorios,3,221.999387,666,Individual,Completada
262,12/11/2025,Monitor,Pantallas,3,723.3127039,2169.94,Individual,Completada
263,3/9/2025,Dock USB,Accesorios,1,1447.180125,1447.18,PYME,Completada
264,7/27/2025,Dock USB,Accesorios,2,896.0833486,1792.17,PYME,Completada
265,11/6/2025,Monitor,Pantallas,1,765.0048828,765,Individual,Completada
266,9/13/2025,Router,Red,1,1053.176837,1053.18,Empresa,Completada
267,9/3/2025,Dock USB,Accesorios,3,1226.456609,3679.37,PYME,Completada
268,9/24/2025,Auriculares,Audio,1,1277.999608,1278,Individual,Completada
269,5/3/2025,Mouse,Accesorios,3,562.5527306,1687.66,Individual,Completada
270,4/16/2025,Dock USB,Accesorios,3,1274.177677,3822.53,Individual,Completada
271,10/24/2025,Dock USB,Accesorios,1,1415.916224,1415.92,Individual,Completada
272,10/23/2025,Router,Red,1,935.2951172,935.3,PYME,Completada
273,10/28/2025,Router,Red,1,1273.107438,1273.11,Individual,Completada
274,12/25/2025,SSD,Almacenamiento,2,777.505805,1555.01,PYME,Completada
275,7/5/2025,Laptop,Computo,3,127.2783302,381.83,Individual,Completada
276,7/7/2025,Teclado,Accesorios,1,998.6521059,998.65,PYME,Cancelada
277,10/16/2025,Webcam,Video,3,828.07847,2484.24,PYME,Completada
278,9/7/2025,Laptop,Computo,1,524.5280277,524.53,PYME,Completada
279,9/16/2025,Auriculares,Audio,2,1404.691757,2809.38,Empresa,Completada
280,10/15/2025,Mouse,Accesorios,3,576.411364,1729.23,Individual,Completada
281,12/1/2025,Auriculares,Audio,3,1413.76805,4241.3,Individual,Completada
282,5/13/2025,Monitor,Pantallas,2,1101.771338,2203.54,Empresa,Completada
283,5/9/2025,Router,Red,3,482.0649208,1446.19,Individual,Completada
284,2/6/2025,Laptop,Computo,1,563.3871894,563.39,PYME,Completada
285,7/30/2025,Monitor,Pantallas,3,1069.093788,3207.28,Individual,Completada
286,1/4/2025,Mouse,Accesorios,1,942.70563,942.71,PYME,Completada
287,6/9/2025,Mouse,Accesorios,1,1273.278894,1273.28,Individual,Completada
288,7/1/2025,Tablet,Computo,3,955.3264114,2865.98,,Completada
289,4/20/2025,Auriculares,Audio,3,404.2768159,1212.83,Individual,Completada
290,8/5/2025,SSD,Almacenamiento,2,1154.615648,2309.23,Individual,Completada
291,1/9/2025,Mouse,Accesorios,3,1350.805044,4052.42,Individual,Completada
292,1/6/2025,Dock USB,Accesorios,2,1084.196889,2168.39,Empresa,Completada
293,11/20/2025,Dock USB,Accesorios,1,84.19421564,84.19,PYME,Completada
294,5/5/2025,Tablet,Computo,2,765.8533508,1531.71,Individual,Completada
295,2/7/2025,Tablet,Computo,2,1331.754076,2663.51,Empresa,Completada
296,7/6/2025,SSD,Almacenamiento,2,710.9086607,1421.82,Empresa,Completada
297,10/4/2025,Mouse,Accesorios,3,1332.335148,3997.01,PYME,Completada
298,3/20/2025,SSD,Almacenamiento,3,778.2726907,2334.82,PYME,Completada
299,8/22/2025,Monitor,Pantallas,2,990.0385695,1980.08,Empresa,Cancelada
300,2/17/2025,Webcam,Video,3,966.983465,2900.95,PYME,Completada
301,1/17/2025,Dock USB,Accesorios,3,360.9118638,1082.74,Individual,Completada
302,7/7/2025,Teclado,Accesorios,2,1483.166569,2966.33,,Completada
303,6/30/2025,Dock USB,Accesorios,2,195.9263933,391.85,Individual,Completada
304,9/1/2025,Dock USB,Accesorios,1,584.7404198,584.74,,Completada
305,9/22/2025,Mouse,Accesorios,3,1341.673183,4025.02,Individual,Completada
306,11/30/2025,Auriculares,Audio,1,850.8197877,850.82,Empresa,Completada
307,7/5/2025,Dock USB,Accesorios,1,821.4834624,821.48,Individual,Completada
308,5/7/2025,Auriculares,Audio,1,844.1753346,844.18,Individual,Completada
309,9/29/2025,SSD,Almacenamiento,3,825.4577282,2476.37,,Completada
310,4/21/2025,Laptop,Computo,1,113.5467902,113.55,Empresa,Completada
311,6/8/2025,Webcam,Video,1,498.9540459,498.95,Individual,Completada
312,2/7/2025,SSD,Almacenamiento,1,1096.944004,1096.94,Individual,Completada
313,1/21/2025,Teclado,Accesorios,2,132.0912795,264.18,PYME,Completada
314,12/13/2025,Auriculares,Audio,3,547.1869039,1641.56,Individual,Completada
315,11/25/2025,SSD,Almacenamiento,2,773.2773634,1546.55,PYME,Completada
316,9/17/2025,Mouse,Accesorios,2,60.36830156,120.74,PYME,Cancelada
317,6/5/2025,Tablet,Computo,3,702.9316391,2108.79,PYME,Completada
318,3/19/2025,Auriculares,Audio,1,1302.264074,1302.26,PYME,Completada
319,3/6/2025,Webcam,Video,3,1373.042458,4119.13,PYME,Completada
320,4/19/2025,Auriculares,Audio,3,761.694129,2285.08,Empresa,Completada
321,7/19/2025,Tablet,Computo,1,1032.296053,1032.3,PYME,Completada
322,9/25/2025,Webcam,Video,2,1147.093417,2294.19,PYME,Completada
323,8/29/2025,Webcam,Video,1,287.4916202,287.49,Individual,Completada
324,4/2/2025,Tablet,Computo,1,1040.471796,1040.47,Empresa,Completada
325,12/24/2025,SSD,Almacenamiento,1,147.5230769,147.52,Empresa,Completada
326,8/29/2025,Mouse,Accesorios,1,1104.371115,1104.37,Individual,Completada
327,7/23/2025,Monitor,Pantallas,3,317.6477672,952.94,Individual,Completada
328,8/6/2025,Auriculares,Audio,2,166.2937898,332.59,Empresa,Completada
329,6/1/2025,SSD,Almacenamiento,3,1007.88405,3023.65,,Completada
330,3/30/2025,Monitor,Pantallas,2,73.33346171,146.67,Individual,Completada
331,5/1/2025,Dock USB,Accesorios,2,365.206568,730.41,PYME,Completada
332,10/4/2025,Monitor,Pantallas,2,226.7542525,453.51,Empresa,Completada
333,1/29/2025,Router,Red,2,1204.38372,2408.77,Individual,Completada
334,2/25/2025,Monitor,Pantallas,1,975.8457362,975.85,Individual,Completada
335,1/22/2025,Router,Red,1,567.1023338,567.1,Individual,Completada
336,1/25/2025,Dock USB,Accesorios,1,161.7634038,161.76,Individual,Completada
337,11/11/2025,Monitor,Pantallas,1,186.5337722,186.53,Individual,Completada
338,9/18/2025,Dock USB,Accesorios,3,532.3861525,1597.16,Individual,Completada
339,6/20/2025,Auriculares,Audio,3,363.8351021,1091.51,PYME,Completada
340,2/4/2025,Laptop,Computo,2,693.8691344,1387.74,,Completada
341,6/27/2025,Monitor,Pantallas,3,1269.081798,3807.25,Individual,Completada
342,6/28/2025,Dock USB,Accesorios,3,1276.669607,3830.01,Individual,Completada
343,3/17/2025,Mouse,Accesorios,1,216.9699292,216.97,Individual,Completada
344,6/22/2025,Dock USB,Accesorios,1,190.9448324,190.94,Individual,Completada
345,6/28/2025,Teclado,Accesorios,1,1262.202946,1262.2,Individual,Completada
346,8/25/2025,Dock USB,Accesorios,2,1011.949318,2023.9,Individual,Completada
347,9/11/2025,Router,Red,1,1135.741916,1135.74,Empresa,Completada
348,1/14/2025,Mouse,Accesorios,2,865.8363694,1731.67,Individual,Completada
349,5/4/2025,Laptop,Computo,1,1275.287825,1275.29,PYME,Completada
350,8/1/2025,Laptop,Computo,3,91.13681763,273.41,Individual,Completada
351,7/9/2025,Mouse,Accesorios,1,356.6439713,356.64,Individual,Completada
352,11/4/2025,Tablet,Computo,3,426.5560282,1279.67,Individual,Completada
